idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
59464;1.0;1.0;DE;3.0;7.0;2.0;5.0;1;1.0;4.0;70.0;8.0;8.0;8.0;8.0;8.0;1;1
59475;3.0;1.0;DE;5.0;4.0;2.0;3.0;0;1.0;2.0;83.0;8.0;9.0;9.0;8.0;7.0;1;0
59477;1.0;2.0;DE;7.0;6.0;4.0;5.0;0;6.0;1.0;42.0;5.0;7.0;7.0;4.0;4.0;0;1
59487;1.0;1.0;DE;2.0;2.0;2.0;5.0;1;6.0;3.0;21.0;4.0;5.0;8.0;4.0;3.0;1;1
59497;1.0;1.0;DE;6.0;7.0;1.0;5.0;1;6.0;4.0;51.0;8.0;9.0;9.0;7.0;6.0;1;1
59563;2.0;1.0;DE;3.0;7.0;2.0;5.0;1;1.0;3.0;67.0;0.0;1.0;3.0;0.0;1.0;1;1
59588;1.0;1.0;DE;3.0;9.0;2.0;5.0;0;1.0;1.0;67.0;6.0;5.0;6.0;6.0;6.0;1;1
59614;1.0;1.0;DE;4.0;9.0;3.0;5.0;0;6.0;4.0;26.0;2.0;6.0;5.0;0.0;2.0;1;1
59641;3.0;2.0;DE;3.0;7.0;2.0;5.0;1;1.0;4.0;64.0;0.0;0.0;5.0;0.0;0.0;0;0
59651;3.0;1.0;DE;4.0;8.0;5.0;5.0;0;6.0;4.0;20.0;9.0;8.0;9.0;9.0;7.0;1;0
59654;1.0;1.0;DE;6.0;7.0;4.0;5.0;1;1.0;3.0;33.0;8.0;8.0;9.0;8.0;6.0;1;1
59660;1.0;2.0;DE;7.0;8.0;2.0;5.0;0;1.0;4.0;71.0;7.0;10.0;8.0;3.0;4.0;0;1
59672;1.0;1.0;DE;7.0;10.0;4.0;5.0;1;1.0;4.0;54.0;4.0;8.0;8.0;3.0;3.0;1;1
59674;2.0;1.0;DE;3.0;3.0;1.0;1.0;0;5.0;4.0;90.0;2.0;8.0;7.0;0.0;1.0;1;1
