idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
71530;1.0;1.0;IT;2.0;4.0;1.0;5.0;1;4.0;4.0;52.0;7.0;9.0;8.0;4.0;5.0;1;1
71544;1.0;1.0;IT;4.0;1.0;5.0;5.0;0;6.0;4.0;21.0;5.0;6.0;8.0;3.0;3.0;1;1
71558;3.0;1.0;IT;3.0;5.0;1.0;4.0;1;6.0;3.0;44.0;1.0;0.0;8.0;1.0;0.0;1;0
71571;3.0;2.0;IT;5.0;2.0;2.0;5.0;1;1.0;3.0;39.0;4.0;4.0;5.0;3.0;4.0;0;0
71611;3.0;1.0;IT;4.0;5.0;1.0;5.0;0;4.0;3.0;49.0;1.0;2.0;7.0;0.0;0.0;1;0
71612;3.0;1.0;IT;7.0;5.0;2.0;5.0;0;6.0;4.0;35.0;4.0;5.0;4.0;1.0;0.0;1;0
71629;3.0;2.0;IT;2.0;4.0;1.0;4.0;1;3.0;4.0;66.0;6.0;6.0;6.0;7.0;7.0;0;0
71668;1.0;1.0;IT;6.0;5.0;3.0;5.0;0;2.0;3.0;39.0;7.0;7.0;7.0;5.0;5.0;1;1
71670;1.0;1.0;IT;4.0;2.0;1.0;5.0;1;6.0;3.0;52.0;5.0;7.0;7.0;5.0;5.0;1;1
71677;1.0;1.0;IT;4.0;5.0;1.0;5.0;1;6.0;3.0;45.0;7.0;5.0;7.0;7.0;6.0;1;1
71680;3.0;1.0;IT;7.0;10.0;1.0;5.0;1;6.0;3.0;76.0;8.0;8.0;7.0;6.0;6.0;1;0
71684;1.0;1.0;IT;1.0;5.0;2.0;3.0;0;1.0;4.0;71.0;0.0;2.0;6.0;1.0;0.0;1;1
71687;3.0;1.0;IT;4.0;3.0;3.0;5.0;1;6.0;3.0;33.0;1.0;4.0;5.0;1.0;1.0;1;0
71688;3.0;1.0;IT;2.0;7.0;4.0;5.0;1;6.0;3.0;19.0;7.0;7.0;8.0;7.0;7.0;1;0
71696;2.0;1.0;IT;7.0;5.0;1.0;5.0;1;6.0;3.0;35.0;5.0;7.0;9.0;2.0;0.0;1;1
71708;1.0;1.0;IT;2.0;3.0;1.0;5.0;1;5.0;4.0;67.0;5.0;5.0;7.0;3.0;5.0;1;1
71738;3.0;1.0;IT;4.0;5.0;5.0;5.0;1;1.0;4.0;39.0;3.0;7.0;7.0;4.0;2.0;1;0
71744;3.0;1.0;IT;2.0;5.0;4.0;5.0;1;1.0;3.0;45.0;3.0;8.0;8.0;1.0;3.0;1;0
71776;1.0;1.0;IT;6.0;8.0;2.0;5.0;0;2.0;4.0;43.0;4.0;7.0;8.0;3.0;4.0;1;1
